,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
109,KEGG_2021_Human,Antigen processing and presentation,1/78,0.575364749696097,0.842124770009742,0,0,1.1793045664013406,0.6518618868794319,HLA-DQB1
110,KEGG_2021_Human,Peroxisome,1/82,0.5936497733801771,0.8610595812090858,0,0,1.1208397337429596,0.5844795218616039,ACSL1
121,KEGG_2021_Human,Glycerophospholipid metabolism,1/98,0.65927831415372,0.8629577933231618,0,0,0.93519882179676,0.3896127188167416,MBOAT7
120,KEGG_2021_Human,Aldosterone synthesis and secretion,1/98,0.65927831415372,0.8629577933231618,0,0,0.93519882179676,0.3896127188167416,LDLR
119,KEGG_2021_Human,Proteoglycans in cancer,2/205,0.656891841494786,0.8629577933231618,0,0,0.8930395913154534,0.3752872953805863,CD63;MMP9
122,KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,1/98,0.65927831415372,0.8629577933231618,0,0,0.93519882179676,0.3896127188167416,IL1RAP
117,KEGG_2021_Human,Dilated cardiomyopathy,1/96,0.651690159146587,0.8629577933231618,0,0,0.9549842347804997,0.4089109235204815,ITGB8
118,KEGG_2021_Human,Fc gamma R-mediated phagocytosis,1/97,0.6555050332259099,0.8629577933231618,0,0,0.9449884792626728,0.3991152202250747,FCGR3B
115,KEGG_2021_Human,Th1 and Th2 cell differentiation,1/92,0.6360055291057768,0.8629577933231618,0,0,0.9971641261963844,0.4512646530364611,HLA-DQB1
111,KEGG_2021_Human,Colorectal cancer,1/86,0.6111508873353361,0.8629577933231618,0,0,1.0678774735700731,0.5258350405600146,TCF7L2
112,KEGG_2021_Human,Neutrophil extracellular trap formation,2/189,0.6128556972931533,0.8629577933231618,0,0,0.9702416320063378,0.4750553108602025,FCGR3B;AQP9
116,KEGG_2021_Human,Focal adhesion,2/201,0.6462701197527241,0.8629577933231618,0,0,0.9111762516285128,0.3977628039183907,COL4A5;ITGB8
